paper_id,review_decision,reviewed_start_page,reviewed_end_page,review_notes
9049c4d2bbec,approved_chapter,78,90,"Visually verified: page 78 is the target title page, page 90 ends with references, and page 91 begins the next chapter."
40034332988c,approved_chapter,32,40,"Visually verified: page 31 ends the previous paper, page 32 is the target title page, page 40 ends with references, and page 41 begins the next paper."
9eda131748eb,approved_chapter,100,135,"Visually verified against the corpus record: page 99 ends Part II, page 100 is the target Part III title page, page 135 ends its final practice assignment, and page 136 begins the Postscript."
056ae4e01610,approved_single,1,20,"Visually verified: page 1 is the target title page and page 20 is the paper's final endnotes page."
8107b8d7a099,approved_single,1,5,"Visually verified: page 1 is the target title page and page 5 ends with references. Embedded font encoding makes extracted text unreadable; OCR or a replacement text source is required."
a285258b5545,excluded_non_english,,,"The PDF is the correct paper, but the full text is in Japanese; only its abstract is in English. Excluded from the English-language canonical corpus, OCR, embeddings, and clustering."
878cf959ac53,approved_single,1,17,"Visually verified: English title and abstract begin on page 1, the main body is in English, and page 17 completes the references. Portuguese and Spanish abstracts are translations only."
12029fe2805e,excluded_non_english,,,"The PDF is the correct paper, but the full text is in Portuguese. Excluded from the English-language canonical corpus, OCR, embeddings, and clustering."
4000c6073b5d,approved_single,1,35,"Visually verified: page 1 is the target title page and page 35 completes the references. The official PDF title is 'Design Principles for Internal Domain-Specific Languages: A Pattern Catalog Illustrated by Ruby'; the source CSV title is a variant and should be normalized in the canonical manifest."
c1db52f69aae,excluded_scope_editorial,,,"Excluded by corpus decision on 2026-07-28. Although the document critically reviews design theories, its publication type is an editorial and editorials are outside the retained survey/book-chapter corpus scope. Preserve the source PDF for audit, but exclude it from canonical analysis input, embeddings, clustering, and citation-graph assignments."
d19f5f66d2ba,approved_single,1,13,"Visually verified: page 1 is the repository cover for the target paper, page 2 begins the article, and page 13 completes the author information."
83d1ebe7d6c0,approved_single,1,9,"Visually verified: page 1 is the target title page and page 9 completes the references."
d56cd856926c,replacement_required_wrong_pdf,,,"The CSV record is 'Pedagogical patterns: picking up the design patterns approach' by Abreu, but the downloaded PDF is 'Pedagogical Patterns - a method to capture best practices in teaching and learning' by Eva Magnusson. Excluded until the correct PDF is obtained."
7a42dd52852e,approved_single,1,31,"Visually verified: page 1 is the target title page and the file contains the complete article through its final publisher page. The PDF is image-based and requires English OCR."
866322a64dc5,approved_single,1,12,"Visually verified: page 1 is the target title page and page 12 is the article's final publisher-information page."
c058d036363a,replacement_required_wrong_pdf,,,"The CSV record is 'What designers know' by Bryan Lawson, but the downloaded PDF is 'Design Research: Aesthetic Epistemology and Explanatory Knowledge' by Peter Murphy. Excluded until the correct PDF is obtained."
55dc4ef842a6,excluded_non_english,,,"The PDF is the correct record, but the full text is in Ukrainian. Excluded from the English-language canonical corpus, OCR, embeddings, and clustering."
edde6dc75b19,approved_document,1,206,"The record and PDF represent the complete book 'The Language of Design: Theory and Computation'. Included by corpus decision as one book-level document. Use title-and-abstract input for cross-model embedding comparisons; cap or sample full-text context so its 206-page length does not dominate document similarity."
