paper_id,keyword,title,authors,year,venue,doi,url,cluster,cluster_label_candidate,distinguishing_evidence_terms,cluster_summary_candidate,distance_to_centroid,representative_rank,is_representative_top3,umap_x,umap_y,discussion_found,discussion_paragraph_count,discussion_summary,discussion_excerpt
0050f73e4373,Design rationale,Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication,"Shipman III, Frank M. (1); McCall, Raymond J. (1)",1997,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",,,9,Rationale · Design Rationale · Dr,"rationale, design rationale, dr, rationales, argumentation, design intent","This exploratory cluster contains 19 papers. Frequent terms include rationale, design rationale, dr, rationales, argumentation, design intent. Representative papers include Integrating different perspectives on design rationale: supporting the emergence of design rationale from design communication; Integrating different perspective on design rationale: Supporting the emergence of design rationale from design communication; Redesigning the rationale for design rationale.",0.061707377433776855,2,True,-0.9277146,5.4073834,False,0,,
00781ed0e844,Design theory,Cognitive Point of View in Recursive Design,Evan Barba,2019,"She Ji: The Journal of Design, Economics and Innovation",,https://www.semanticscholar.org/paper/cd9c2c3812ad8a7feccea4741cea6b98dd33a007,-1,Noise / weak affinity,"theory, knowledge, ai, patterns, systems, model",68 papers were left unassigned by the density model. They are retained as evidence of weak affinity rather than treated as an algorithm failure.,0.12829411029815674,12,False,1.3679008,6.6846795,False,0,,
00d7fbafe65f,Design Guidelines,"Demystifying Tacit Knowledge in Graphic Design: Characteristics, Instances, Approaches, and Guidelines","Son, Kihoon and Choi, DaEun and Kim, Tae Soo and Kim, Juho",2024,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,10.1145/3613904.3642886,https://doi.org/10.1145/3613904.3642886,15,Knowledge · Design Knowledge · Product,"knowledge, design knowledge, product, tacit, process, model","This exploratory cluster contains 26 papers. Frequent terms include knowledge, design knowledge, product, tacit, process, model. Representative papers include Toward a Unified Model of Design Knowledge; A typology of design knowledge: A theoretical framework; Investigations into the data basis of design knowledge in industrial design engineering.",0.12207591533660889,19,False,1.8122778,8.460136,False,0,,
00e42ae113b8,Design knowledge,Utilization of design principles for hybrid learning configurations by interprofessional design teams,Petra H. M. Cremers; A. Wals; R. Wesselink; M. Mulder,2016,Instructional Science,,https://www.semanticscholar.org/paper/c789600c7369bddaf982676630fa98befecacde6,13,Design Principles · Principles · Knowledge,"design principles, principles, knowledge, principle, visual inquiry, boundary","This exploratory cluster contains 16 papers. Frequent terms include design principles, principles, knowledge, principle, visual inquiry, boundary. Representative papers include Towards a Method for Design Principle Development in Information Systems; Design Principles: Literature Review, Analysis, and Future Directions; Design principles: The foundation of design.",0.11190485954284668,9,False,0.6910743,6.867963,False,0,,
01467836cecf,Design principles,Design principles for human-computer interfaces,"Norman, Donald A.",1983,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,10.1145/800045.801571,https://doi.org/10.1145/800045.801571,11,User · Interface · User Interface,"user, interface, user interface, software, ja, abstraction","This exploratory cluster contains 16 papers. Frequent terms include user, interface, user interface, software, ja, abstraction. Representative papers include Studying Software Architecture Through Design Spaces and Rules; Design Space and Design Rules for User Interface Software Architecture; Architecture, design, implementation.",0.10812366008758545,4,False,1.8705133,4.501081,False,0,,
0176348439b8,Design Guidelines,A Comparative Study of Chinese and American Rural Design Guidelines,D. Chu; R. Li,2019,International Journal of Structural and Civil Engineering Research,,https://www.semanticscholar.org/paper/af67c18e22e351362a73fa3cb1d997e238f8c3d7,13,Design Principles · Principles · Knowledge,"design principles, principles, knowledge, principle, visual inquiry, boundary","This exploratory cluster contains 16 papers. Frequent terms include design principles, principles, knowledge, principle, visual inquiry, boundary. Representative papers include Towards a Method for Design Principle Development in Information Systems; Design Principles: Literature Review, Analysis, and Future Directions; Design principles: The foundation of design.",0.2453685998916626,16,False,0.5469725,7.0158553,False,0,,
022ee7cf2e4e,Design Heuristics,Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization,"Kremer, Gerald (1); Peters, Ina (1); Bingoel, Berkay (1); Stark, Rainer (1)",2022,"Proceedings of the 33rd Symposium Design for X, DFX 2022",10.35199/dfx2022.08,,1,Heuristics · Design Heuristics · Heuristic,"heuristics, design heuristics, heuristic, dashboard, usability, product","This exploratory cluster contains 11 papers. Frequent terms include heuristics, design heuristics, heuristic, dashboard, usability, product. Representative papers include Design Heuristics in Innovative Products; Formal system for the expression of target-oriented design heuristics; Introduction of a standardized Notation of Design Heuristics for Knowledge Formalization.",0.06487268209457397,3,True,3.4594984,6.6634865,False,0,,
02381ea80183,Design knowledge,A design theory for data quality tools in data ecosystems: Findings from three industry cases,"Altendeitering, M. (1, 2); Guggenberger, T.M. (1, 2); Möller, F. (1, 3)",,Data & Knowledge Engineering,10.1016/j.datak.2024.102333,,16,Data · Organizational · Principles,"data, organizational, principles, modularity, business, quality","This exploratory cluster contains 31 papers. Frequent terms include data, organizational, principles, modularity, business, quality. Representative papers include A conceptual framework for design science research; Towards normal design for safety-critical systems; Management design theories.",0.17281675338745117,23,False,0.123877235,5.285951,False,0,,
02f3ae017acb,Design theory,Design Theory and Method of Complex Products: A Review,Chan Qiu; Jianrong Tan; Zhen-yu Liu; Haoyang Mao; Weifei Hu,2022,Chinese Journal of Mechanical Engineering,,https://www.semanticscholar.org/paper/11b673bc049bd6075777c1697de805d195198e5b,6,Product · Hybrid · Interim,"product, hybrid, interim, manufacturing, products, recovery","This exploratory cluster contains 8 papers. Frequent terms include product, hybrid, interim, manufacturing, products, recovery. Representative papers include Design Theory and Method of Complex Products: A Review; The Conceptual Design of Mechanical Products; State of the Art on Robust Design Methods for Additive Manufacturing.",0.07514792680740356,1,True,0.4556136,5.681913,False,0,,
03adadfa0ad4,Design knowledge,"Design Principles: Literature Review, Analysis, and Future Directions","Fu, K.K. (1); Yang, M.C. (2); Wood, K.L. (3)",,Journal of Mechanical Design,10.1115/1.4034105,,13,Design Principles · Principles · Knowledge,"design principles, principles, knowledge, principle, visual inquiry, boundary","This exploratory cluster contains 16 papers. Frequent terms include design principles, principles, knowledge, principle, visual inquiry, boundary. Representative papers include Towards a Method for Design Principle Development in Information Systems; Design Principles: Literature Review, Analysis, and Future Directions; Design principles: The foundation of design.",0.04328030347824097,2,True,0.5146892,6.8467865,False,0,,
